GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,70,"62","   Health care and social assistance ","Thousands of dollars",(D),(D),(D),(D),161976,165197,169921,185216,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",46229,49210,47762,52653,57675,60833,59459,57066,46880,53391,58482,64971,(D),96631,(D),(D),126642,(D),119561,71488,125905,185359,199162
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18312,(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,79,"72","   Accommodation and food services ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),107593,(D),(D)
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",31609,36232,34945,35339,38453,37627,37035,37229,37723,38807,39761,45286,47785,51389,52155,50647,51859,53051,54519,53591,58213,64412,68111
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,83,"92","Government and government enterprises ","Thousands of dollars",145174,149266,156621,165186,171768,176159,179388,185629,193137,206250,208969,207451,198938,206297,218814,223818,236679,252012,260545,265373,268864,273992,286107
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,87,"11,21","Natural resources and mining ","Thousands of dollars",61300,58986,112779,190091,137182,77435,214916,280942,154509,89079,308369,292449,533716,382788,256018,160413,34863,256051,118377,307289,456968,643496,515008
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,88,"42,44-45","Trade ","Thousands of dollars",243909,245404,252305,253822,262710,259821,263950,294433,311679,337185,337441,355013,360636,390567,420439,443455,458281,483659,510687,522752,587078,638606,683264
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,89,"22,48-49","Transportation and utilities ","Thousands of dollars",35793,33623,35810,43945,54001,58089,63133,65842,61669,57910,64599,68396,(D),78301,(D),(D),88532,(D),101431,105654,121224,124899,128527
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,90,"31-33,51","Manufacturing and information ","Thousands of dollars",(D),(D),202949,219066,243618,258226,286710,297122,310438,330978,353835,348188,359239,373571,390307,415301,404976,407160,384458,442593,510908,468428,464884
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",270685,304270,340699,438969,409008,373396,550078,608199,498136,459649,705166,698889,948615,810862,695136,622527,479038,698543,524192,770083,992513,1153755,1029837
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",853126,936511,973794,903932,995184,999049,1047563,1111827,1125231,1185778,1224243,1257153,1318847,1399783,1503816,1504484,1552152,1594958,1638544,1664502,1851565,2012194,2146537
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,1,"...","All industry total ","Thousands of dollars",1526763,1593260,1711880,1868700,2022070,2141991,2263376,2243945,2242538,2290617,2216847,2184044,2223661,2298626,2405258,2397482,2441663,2548014,2697837,2642030,3108656,3442875,3660246
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1214643,1273551,1376423,1519249,1646529,1736554,1849871,1806491,1792838,1832557,1767618,1718173,1729267,1774903,1847557,1821057,1850807,1927338,2029777,2009586,2444369,2726840,2884717
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),74605,78720,90617,89402,105363,98888,(D),(D),83198,(D),(D),(D),(D),(D),(D),89372,(D),(D),(D),112736,158924,146986
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3745,4142,5234,5001,6312,8934,11400,7592,8028,8352,7795,4704,5646,6401,4701,5836,6786,8922,8679,9747,11496,17073,14721
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,10,"22","  Utilities ","Thousands of dollars",(D),4164,6537,7872,(D),7217,4774,24969,54682,42524,15306,17081,(D),65094,(D),106210,108436,(D),(D),(D),177122,(D),207326
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,11,"23","  Construction ","Thousands of dollars",54293,61128,61937,64960,97702,110704,109523,97337,66567,67311,61505,60364,72143,80021,93736,102781,114464,120521,133243,137513,170745,206530,227451
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",271444,283070,358040,447918,502746,497158,558239,503764,502985,532633,491685,385928,361093,366039,345425,304956,298974,299147,316326,329105,447980,472230,464108
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",180113,185250,239190,329101,364554,356291,423515,367485,328755,344198,328446,292854,259593,259528,228642,192758,191619,192441,198723,214915,334363,355830,352905
 "10140","Aberdeen, WA (Micropolitan Statistical Area)", ,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",91330,97820,118850,118817,138192,140866,134724,136279,174230,188435,163239,93073,101500,106511,116783,112198,107355,106705,117603,114190,113617,116400,111203
