geo_fips,geo_name,description,year,value,state_abbr.x,state_abbr.y
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2018,2850970.3,CA,CA
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2019,2969609,CA,CA
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2020,2933320.2,CA,CA
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2021,3154188.6,CA,CA
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2022,3184007.8,CA,CA
06000,California,Real GDP (millions of chained 2017 dollars) 1/,2023,3248656.6,CA,CA
06000,California,Real per capita personal income 4/,2017,52604,CA,CA
06000,California,Real per capita personal income 4/,2018,53481,CA,CA
06000,California,Real per capita personal income 4/,2019,55932,CA,CA
06000,California,Real per capita personal income 4/,2020,60008,CA,CA
06000,California,Real per capita personal income 4/,2021,63194,CA,CA
06000,California,Real per capita personal income 4/,2022,58928,CA,CA
06000,California,Real per capita personal income 4/,2023,59940,CA,CA
06000,California,Total employment (number of jobs),2017,23548874,CA,CA
06000,California,Total employment (number of jobs),2018,24077466,CA,CA
06000,California,Total employment (number of jobs),2019,24224461,CA,CA
06000,California,Total employment (number of jobs),2020,23152576,CA,CA
06000,California,Total employment (number of jobs),2021,23932286,CA,CA
06000,California,Total employment (number of jobs),2022,24941198,CA,CA
06000,California,Total employment (number of jobs),2023,25417299,CA,CA
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2017,350209.1,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2018,365204.5,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2019,383725.6,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2020,380188.8,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2021,406451.9,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2022,418818.8,CO,CO
08000,Colorado,Real GDP (millions of chained 2017 dollars) 1/,2023,437056,CO,CO
08000,Colorado,Real per capita personal income 4/,2017,52739,CO,CO
08000,Colorado,Real per capita personal income 4/,2018,56587,CO,CO
08000,Colorado,Real per capita personal income 4/,2019,57863,CO,CO
08000,Colorado,Real per capita personal income 4/,2020,59744,CO,CO
08000,Colorado,Real per capita personal income 4/,2021,64129,CO,CO
08000,Colorado,Real per capita personal income 4/,2022,64644,CO,CO
08000,Colorado,Real per capita personal income 4/,2023,65589,CO,CO
08000,Colorado,Total employment (number of jobs),2017,3760708,CO,CO
08000,Colorado,Total employment (number of jobs),2018,3857981,CO,CO
08000,Colorado,Total employment (number of jobs),2019,3894321,CO,CO
08000,Colorado,Total employment (number of jobs),2020,3820820,CO,CO
08000,Colorado,Total employment (number of jobs),2021,3987571,CO,CO
08000,Colorado,Total employment (number of jobs),2022,4110187,CO,CO
08000,Colorado,Total employment (number of jobs),2023,4241790,CO,CO
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2017,273875.1,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2018,274582.8,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2019,275225.4,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2020,260765.2,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2021,269838.7,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2022,278975.9,CT,CT
09000,Connecticut,Real GDP (millions of chained 2017 dollars) 1/,2023,286628.4,CT,CT
09000,Connecticut,Real per capita personal income 4/,2017,64665,CT,CT
09000,Connecticut,Real per capita personal income 4/,2018,68093,CT,CT
09000,Connecticut,Real per capita personal income 4/,2019,69073,CT,CT
09000,Connecticut,Real per capita personal income 4/,2020,70057,CT,CT
09000,Connecticut,Real per capita personal income 4/,2021,73110,CT,CT
09000,Connecticut,Real per capita personal income 4/,2022,68981,CT,CT
09000,Connecticut,Real per capita personal income 4/,2023,72040,CT,CT
09000,Connecticut,Total employment (number of jobs),2017,2300273,CT,CT
09000,Connecticut,Total employment (number of jobs),2018,2314465,CT,CT
09000,Connecticut,Total employment (number of jobs),2019,2297925,CT,CT
09000,Connecticut,Total employment (number of jobs),2020,2217360,CT,CT
09000,Connecticut,Total employment (number of jobs),2021,2289368,CT,CT
09000,Connecticut,Total employment (number of jobs),2022,2356018,CT,CT
09000,Connecticut,Total employment (number of jobs),2023,2416621,CT,CT
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2017,69555.6,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2018,70856.4,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2019,74627.8,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2020,72506.8,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2021,74657.1,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2022,77149.2,DE,DE
10000,Delaware,Real GDP (millions of chained 2017 dollars) 1/,2023,78014.4,DE,DE
10000,Delaware,Real per capita personal income 4/,2017,50850,DE,DE
10000,Delaware,Real per capita personal income 4/,2018,52109,DE,DE
10000,Delaware,Real per capita personal income 4/,2019,52674,DE,DE
10000,Delaware,Real per capita personal income 4/,2020,54954,DE,DE
10000,Delaware,Real per capita personal income 4/,2021,56272,DE,DE
10000,Delaware,Real per capita personal income 4/,2022,56282,DE,DE
10000,Delaware,Real per capita personal income 4/,2023,55936,DE,DE
10000,Delaware,Total employment (number of jobs),2017,584693,DE,DE
10000,Delaware,Total employment (number of jobs),2018,597021,DE,DE
10000,Delaware,Total employment (number of jobs),2019,602769,DE,DE
10000,Delaware,Total employment (number of jobs),2020,592138,DE,DE
10000,Delaware,Total employment (number of jobs),2021,620262,DE,DE
10000,Delaware,Total employment (number of jobs),2022,643382,DE,DE
10000,Delaware,Total employment (number of jobs),2023,663162,DE,DE
