fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,48215,TX,Department of State,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,true,19500.0
2021,20161,KS,Department of Agriculture,511210,SOFTWARE PUBLISHERS,true,false,false,17007.0
2021,20091,KS,Environmental Protection Agency,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,53106.89
2021,06067,CA,Department of the Interior,541620,ENVIRONMENTAL CONSULTING SERVICES,true,true,false,1737605.33
2021,06071,CA,Department of Defense,324110,PETROLEUM REFINERIES,true,false,false,905216.9099999999
2021,27053,MN,General Services Administration,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,true,false,false,20699.84
2021,39139,OH,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,3857471.82
2021,12033,FL,Department of Defense,334118,COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,true,false,false,255693.98
2021,45031,SC,Department of Defense,325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,true,false,true,63334.0
2021,55101,WI,Department of Justice,311412,FROZEN SPECIALTY FOOD MANUFACTURING,true,false,false,1890.2
2021,31109,NE,Department of Defense,811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,true,false,false,1084141.98
2021,21047,KY,Department of Defense,541620,ENVIRONMENTAL CONSULTING SERVICES,true,false,true,108872.0
2021,12057,FL,Department of Veterans Affairs,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,true,332771.8
2021,42077,PA,National Aeronautics and Space Administration,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,139550.79
2021,42101,PA,Department of Defense,323113,COMMERCIAL SCREEN PRINTING,true,false,true,9607.0
2021,01081,AL,Department of Agriculture,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,true,false,true,135311.95
