fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,is_minority_owned,total_obligation
2024,51510,VA,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,true,16919080.84
2024,51810,VA,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,false,false,1935249851.53
2024,05007,AR,Department of Defense,311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,true,false,false,false,2308980.6800000006
2024,36047,NY,General Services Administration,326111,PLASTICS BAG MANUFACTURING,true,true,false,false,1842198.9299999992
2024,32003,NV,Department of Veterans Affairs,333921,ELEVATOR AND MOVING STAIRWAY MANUFACTURING,true,true,true,true,55070.0
2024,34039,NJ,Department of Defense,311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING,true,false,false,false,44690402.69999999
2024,09180,CT,Department of Defense,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",true,false,false,false,19446.39
2024,17043,IL,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,false,false,596066280.6099999
2024,47119,TN,Department of Defense,332119,"METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)",true,false,false,false,55.0
2024,12031,FL,Department of Defense,324110,PETROLEUM REFINERIES,true,false,false,false,15618237.669999998
2024,11001,DC,Department of Homeland Security,513210,SOFTWARE PUBLISHERS,true,false,false,false,2845275.57
2024,25013,MA,Department of Defense,336412,AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,true,false,false,false,671597.45
2024,24033,MD,Department of Defense,511210,SOFTWARE PUBLISHERS,true,false,true,false,1740180.0
2024,51059,VA,Department of Justice,333921,ELEVATOR AND MOVING STAIRWAY MANUFACTURING,true,false,false,true,1050223.0
2024,06085,CA,Department of the Interior,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,true,0.0
2024,24033,MD,Department of Commerce,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,false,33577037.94
2024,24033,MD,Department of Health and Human Services,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,true,17759311.74
2024,24031,MD,Department of Homeland Security,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,87881240.28999998
2024,45069,SC,Department of Justice,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,true,false,false,true,55488.0
2024,06075,CA,Department of the Interior,336611,SHIP BUILDING AND REPAIRING,true,false,false,false,3639459.0
2024,17093,IL,General Services Administration,332510,HARDWARE MANUFACTURING,true,false,false,false,835001.4600000001
2024,01089,AL,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,false,138270542.99999997
2024,21111,KY,Department of Defense,333996,FLUID POWER PUMP AND MOTOR MANUFACTURING,true,false,false,false,885084.0
2024,12099,FL,Department of Defense,325992,"PHOTOGRAPHIC FILM, PAPER, PLATE, CHEMICAL, AND COPY TONER MANUFACTURING",true,false,false,false,232154.17000000004
2024,51510,VA,Department of Defense,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,true,true,false,false,122295.96
2024,23009,ME,Department of the Interior,562910,REMEDIATION SERVICES,true,false,false,false,74700.0
2024,17161,IL,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,false,false,45270.0
2024,24003,MD,Department of the Interior,541930,TRANSLATION AND INTERPRETATION SERVICES,true,false,false,false,14800.0
2024,05143,AR,Department of Justice,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,true,false,false,false,17866338.060000002
2024,12005,FL,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,true,11686016.030000001
2024,51013,VA,Department of the Treasury,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,true,195267.06
2024,51059,VA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,false,7096230.979999999
2024,12081,FL,General Services Administration,336992,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",true,false,false,false,530084.11
2024,08031,CO,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,39395.28
2024,51107,VA,Department of Defense,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,false,true,false,2363366.47
2024,35001,NM,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,1093232.6199999999
2024,06029,CA,Department of Defense,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,true,false,false,true,19128386.820000004
2024,13073,GA,Department of Veterans Affairs,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,true,false,888303.5499999999
2024,06079,CA,Department of Defense,324110,PETROLEUM REFINERIES,true,false,false,false,2768683.7500000005
2024,12095,FL,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,true,false,false,3708484.8800000004
2024,42011,PA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,1423692.8
2024,55101,WI,Department of Defense,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,true,true,false,false,5760.0
2024,11001,DC,General Services Administration,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,19965035.380000003
2024,16001,ID,Department of Agriculture,532120,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",true,false,false,false,2114459.71
2024,13117,GA,Department of Defense,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,true,true,false,99910.0
2024,13117,GA,Department of Defense,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,true,false,false,false,64000.0
2024,25001,MA,Department of Health and Human Services,339116,DENTAL LABORATORIES,true,false,true,false,20000.0
2024,16001,ID,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,true,17563714.58
2024,17097,IL,Department of Defense,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,true,false,false,false,1615605.1499999997
2024,29189,MO,Department of Defense,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,false,false,924093.26
2024,45079,SC,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,true,false,false,93814.97
2024,47113,TN,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,true,false,1912793.8599999999
2024,42017,PA,Department of Defense,334514,TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,true,false,false,false,1675190.4399999995
2024,12099,FL,General Services Administration,339940,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,true,false,false,false,403544.16
2024,12057,FL,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,true,false,true,67236008.49
2024,06087,CA,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,true,1352.8
2024,42017,PA,Department of Defense,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,true,false,false,false,3537229.830000001
2024,48201,TX,Department of Homeland Security,812930,PARKING LOTS AND GARAGES,true,true,false,true,16440.0
2024,51153,VA,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,true,true,13799537.07
2024,13127,GA,Department of Homeland Security,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,true,false,false,true,1236302.94
2024,39061,OH,Department of Energy,561499,ALL OTHER BUSINESS SUPPORT SERVICES,true,false,false,true,1798757.1800000002
2024,06083,CA,Department of Defense,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,true,true,false,false,12523.96
2024,47173,TN,General Services Administration,326122,PLASTICS PIPE AND PIPE FITTING MANUFACTURING,true,true,false,true,299781.85000000003
