fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2022,34015,NJ,Department of Defense,332313,PLATE WORK MANUFACTURING,true,false,true,244000.0
2022,13089,GA,Department of Health and Human Services,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,1336152.3900000001
2022,25001,MA,Department of Defense,334515,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,true,false,false,15190.0
2022,42011,PA,Department of Defense,334419,OTHER ELECTRONIC COMPONENT MANUFACTURING,true,false,false,311087.5899999999
2022,08057,CO,Department of Agriculture,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",true,false,false,807868.04
2022,48029,TX,Department of Defense,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,true,5033748.79
2022,12031,FL,Department of Defense,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",true,false,true,1166886.21
2022,11001,DC,Smithsonian Institution,442210,FLOOR COVERING STORES,true,false,false,4772.0
2022,36065,NY,Department of Defense,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",true,false,false,1526494.0
2022,30049,MT,Department of Veterans Affairs,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,5912513.4
2022,24033,MD,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,74688239.02000001
2022,12033,FL,Department of Defense,339993,"FASTENER, BUTTON, NEEDLE, AND PIN MANUFACTURING",true,false,false,3275.12
2022,44005,RI,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,106678323.19
2022,42091,PA,Department of Defense,332911,INDUSTRIAL VALVE MANUFACTURING,true,false,false,5103271.75
2022,24031,MD,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,1660786.0
2022,42019,PA,Office of Personnel Management,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,0.0
2022,48439,TX,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,true,false,11275.46
2022,06065,CA,Department of Defense,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,true,true,false,85764.15
2022,47013,TN,Department of Defense,333922,CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,true,false,false,10629.55
2022,12091,FL,Department of Defense,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,true,false,false,628490.5
2022,26049,MI,Department of Defense,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,true,325919.37
2022,17183,IL,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,false,false,112791.15000000001
2022,40109,OK,Department of Health and Human Services,518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",true,false,false,120140.52
2022,48439,TX,Department of Defense,332111,IRON AND STEEL FORGING,true,false,true,732381.75
2022,22071,LA,Department of Veterans Affairs,561320,TEMPORARY HELP SERVICES,true,false,true,17278726.150000002
2022,24031,MD,Department of Homeland Security,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",true,false,false,545433.8
2022,11001,DC,General Services Administration,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,false,false,50162134.339999996
2022,45085,SC,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,8316470.69
2022,06001,CA,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,true,false,528448.09
2022,40037,OK,Department of the Interior,336212,TRUCK TRAILER MANUFACTURING,true,false,false,27329.46
2022,17197,IL,Department of Defense,332911,INDUSTRIAL VALVE MANUFACTURING,true,true,false,90020.43
2022,42017,PA,Department of Defense,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,true,false,false,1205141.21
2022,11001,DC,Office of Personnel Management,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,79610580.95
2022,39139,OH,Department of Defense,336411,AIRCRAFT MANUFACTURING,true,false,false,59970.0
2022,13139,GA,General Services Administration,332216,SAW BLADE AND HANDTOOL MANUFACTURING,true,true,false,1743204.1399999997
2022,53035,WA,Department of Defense,562111,SOLID WASTE COLLECTION,true,false,false,304743.5
2022,17167,IL,Department of the Interior,561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),true,true,false,17081.0
2022,06065,CA,Department of Homeland Security,336214,TRAVEL TRAILER AND CAMPER MANUFACTURING,true,false,false,142000.0
2022,56021,WY,Department of Defense,562920,MATERIALS RECOVERY FACILITIES,true,true,false,162921.96
2022,40109,OK,Department of Transportation,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,3627902.3200000003
2022,51510,VA,Department of Agriculture,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,5053113.74
2022,04013,AZ,Department of Agriculture,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",true,false,false,146316.0
2022,51109,VA,Department of Defense,334419,OTHER ELECTRONIC COMPONENT MANUFACTURING,true,true,false,108071.12000000001
2022,51810,VA,Department of Defense,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,true,false,false,195846.39
2022,40143,OK,Department of Defense,333517,MACHINE TOOL MANUFACTURING,true,true,false,2907441.18
2022,36117,NY,Department of Defense,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,false,399935.0
2022,20173,KS,Department of Defense,315999,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,true,false,false,48191.44
2022,33015,NH,Department of Defense,334515,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,true,false,false,70010.40000000001
2022,42055,PA,Department of Defense,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,true,false,141619.0
2022,26049,MI,Department of Veterans Affairs,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,true,1092573.7500000002
2022,51059,VA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,true,false,70417232.60999998
2022,12033,FL,Department of Defense,326291,RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,true,false,false,2425.0
2022,11001,DC,Department of Defense,562910,REMEDIATION SERVICES,true,false,false,4938214.96
2022,21017,KY,Department of Defense,336310,MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,true,true,false,2206.4399999999996
2022,12057,FL,Department of Defense,334418,PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,true,false,true,74302.8
2022,13215,GA,Department of Homeland Security,324191,PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,true,true,false,5760.0
2022,06001,CA,Department of Defense,332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",true,false,true,892041.6699999998
2022,15003,HI,Department of Defense,339944,CARBON PAPER AND INKED RIBBON MANUFACTURING,true,false,false,104512.97
2022,26127,MI,Department of Agriculture,311411,"FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",true,false,false,8846036.46
2022,42017,PA,Department of Defense,332991,BALL AND ROLLER BEARING MANUFACTURING,true,false,true,18085.63
2022,06073,CA,Department of Defense,237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,true,false,false,10779128.620000001
2022,51153,VA,Environmental Protection Agency,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,true,true,false,466930.0
2022,55003,WI,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,21359.86
2022,12091,FL,Department of Defense,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",true,false,false,163112341.69
2022,08031,CO,General Services Administration,561210,FACILITIES SUPPORT SERVICES,true,false,false,4466676.81
2022,12103,FL,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,true,1784334.1500000004
