fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2023,04013,AZ,Department of Defense,311812,COMMERCIAL BAKERIES,true,false,false,5675532.429999995
2023,34013,NJ,Department of Defense,325520,ADHESIVE MANUFACTURING,true,false,false,2131431.2600000002
2023,06007,CA,Department of Defense,311991,PERISHABLE PREPARED FOOD MANUFACTURING,true,false,false,26329014.590000007
2023,17183,IL,Department of Defense,311812,COMMERCIAL BAKERIES,true,false,false,28432654.520000007
2023,51810,VA,Department of Defense,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,true,false,false,42685111.55
2023,06067,CA,Department of Veterans Affairs,336110,AUTOMOBILE AND LIGHT DUTY MOTOR VEHICLE MANUFACTURING,true,false,true,70944.01999999999
2023,24031,MD,Department of Health and Human Services,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,18517623.82
2023,26009,MI,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,433433.02
2023,42029,PA,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,true,154360.06
2023,01109,AL,Department of Defense,324110,PETROLEUM REFINERIES,true,false,false,1519428.9699999997
2023,45091,SC,Department of Justice,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,true,true,false,582323.43
2023,51013,VA,Department of Defense,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,false,323172746.82000005
2023,51073,VA,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,true,false,315352.4
2023,36047,NY,Department of Defense,315220,MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING,true,false,false,12260344.799999999
2023,42001,PA,Department of the Interior,238160,ROOFING CONTRACTORS,true,false,false,426569.0
2023,51710,VA,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,false,true,42198401.69
2023,24031,MD,Department of State,423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,true,false,false,542253.73
2023,51810,VA,Department of Defense,541330,ENGINEERING SERVICES,true,false,true,52565605.620000005
2023,51710,VA,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,538305.82
2023,51660,VA,Department of Justice,339920,SPORTING AND ATHLETIC GOODS MANUFACTURING,true,false,true,154941.5
2023,13067,GA,Department of Health and Human Services,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,1454731.68
2023,49053,UT,General Services Administration,238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",true,false,false,121202.68000000001
2023,12011,FL,Department of Justice,311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,true,false,false,6150387.74
2023,15003,HI,Department of the Interior,561210,FACILITIES SUPPORT SERVICES,true,false,true,1106108.45
2023,11001,DC,Department of Justice,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,20429948.160000004
