fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2019,13121,GA,Department of Defense,424480,FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,true,false,false,19584586.129999988
2019,17201,IL,Department of Defense,333911,PUMP AND PUMPING EQUIPMENT MANUFACTURING,true,false,false,11447171.259999985
2019,04013,AZ,Department of Homeland Security,423490,OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,true,false,false,2760296.0
2019,13021,GA,General Services Administration,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,true,false,false,12635430.829999985
2019,09009,CT,General Services Administration,322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING,true,false,true,12338300.799999993
2019,20041,KS,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,true,false,68842.2
2019,53057,WA,Department of Defense,311812,COMMERCIAL BAKERIES,true,false,false,25751532.24
2019,51089,VA,General Services Administration,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,true,false,true,1047212.71
2019,12031,FL,Department of Defense,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,false,233373.61000000002
2019,53035,WA,Department of Defense,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,true,false,true,2133933.68
2019,39169,OH,General Services Administration,332323,ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,true,true,false,28267.78
2019,72127,PR,General Services Administration,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,true,false,false,625379.6
2019,02020,AK,Environmental Protection Agency,423210,FURNITURE MERCHANT WHOLESALERS,true,false,false,20523.96
2019,12009,FL,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,12341567.57
2019,11001,DC,Department of State,541519,OTHER COMPUTER RELATED SERVICES,true,true,true,523622.12000000005
2019,22051,LA,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,true,false,225108.24999999997
2019,06067,CA,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,false,false,1496.0
2019,26049,MI,Department of Defense,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,true,141607.38999999998
2019,42017,PA,Department of Defense,334512,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",true,false,false,733166.79
2019,51013,VA,Department of State,561110,OFFICE ADMINISTRATIVE SERVICES,true,false,false,20299549.7
2019,48303,TX,Social Security Administration,621112,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",true,true,false,86589.98999999999
2019,28151,MS,Department of Agriculture,531320,OFFICES OF REAL ESTATE APPRAISERS,true,false,false,3600.0
2019,19103,IA,Department of Veterans Affairs,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,true,243337.49000000002
2019,11001,DC,Department of State,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,false,false,5522655.649999999
2019,06037,CA,Department of State,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,true,false,false,108165.94
2019,44003,RI,Department of Defense,722320,CATERERS,true,false,false,41319.75
2019,06095,CA,Department of Defense,334210,TELEPHONE APPARATUS MANUFACTURING,true,false,false,45833.4
2019,11001,DC,National Aeronautics and Space Administration,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,false,1131286.0
2019,01089,AL,Department of Defense,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",true,false,false,1099700218.0900002
2019,11001,DC,Agency for International Development,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,true,false,89299664.82000001
2019,17173,IL,Department of Defense,333618,OTHER ENGINE EQUIPMENT MANUFACTURING,true,false,false,35900.0
2019,05027,AR,General Services Administration,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,false,123812.71
2019,30013,MT,Department of Agriculture,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",true,false,false,72548.0
2019,42091,PA,Social Security Administration,621112,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",true,false,false,40020.0
2019,31173,NE,Department of Defense,337215,"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",true,false,false,731197.84
2019,06053,CA,Department of Defense,488510,FREIGHT TRANSPORTATION ARRANGEMENT,true,false,false,105000.0
2019,12086,FL,Department of Defense,611420,COMPUTER TRAINING,true,false,false,47810.0
2019,42027,PA,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,false,false,115775.92000000001
2019,11001,DC,Agency for International Development,443142,ELECTRONICS STORES,true,true,false,21727.35
2019,51191,VA,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,true,false,31369.71
2019,48029,TX,General Services Administration,541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),true,false,false,7670619.67
2019,27061,MN,Department of Agriculture,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,1103759.0
2019,34009,NJ,Department of Homeland Security,811118,OTHER AUTOMOTIVE MECHANICAL AND ELECTRICAL REPAIR AND MAINTENANCE,true,false,false,26990.0
2019,22043,LA,Department of Agriculture,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,false,false,190158.92
2019,06037,CA,Department of Defense,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,false,609509.7
2019,42017,PA,Department of Defense,334416,"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",true,false,false,766111.65
2019,20103,KS,Department of Veterans Affairs,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,true,false,false,7782.5
2019,11001,DC,Department of Labor,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,19603992.36
2019,48029,TX,Department of Defense,339920,SPORTING AND ATHLETIC GOODS MANUFACTURING,true,false,false,623450.8899999999
2019,13153,GA,Department of Defense,333314,OPTICAL INSTRUMENT AND LENS MANUFACTURING,true,false,false,66859.22
2019,45019,SC,Department of Veterans Affairs,541310,ARCHITECTURAL SERVICES,true,false,true,2544293.29
2019,48453,TX,General Services Administration,561210,FACILITIES SUPPORT SERVICES,true,false,true,248364.96999999997
2019,17077,IL,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,false,false,68422.62000000001
2019,33009,NH,Department of State,511210,SOFTWARE PUBLISHERS,true,false,false,396659.06
2019,13057,GA,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,false,false,9975.16
2019,22055,LA,Social Security Administration,624310,VOCATIONAL REHABILITATION SERVICES,true,true,false,145062.18
2019,06037,CA,Department of Defense,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,false,8055717.180000001
2019,08041,CO,Department of Defense,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,true,false,false,219277.0
